match_id;team;minute;value
14083315;Sevilla;66.0;56
14083315;Sevilla;67.0;80
14083315;Sevilla;68.0;60
14083315;Sevilla;69.0;52
14083315;Sevilla;70.0;31
14083315;Sevilla;71.0;40
14083315;Sevilla;72.0;27
14083315;Sevilla;73.0;44
14083315;Sevilla;74.0;31
14083315;Sevilla;75.0;22
14083315;Sevilla;76.0;47
14083315;Sevilla;77.0;48
14083315;Sevilla;78.0;6
14083315;Sevilla;79.0;8
14083315;Girona FC;80.0;-7
14083315;Sevilla;81.0;9
14083315;Sevilla;82.0;9
14083315;Girona FC;83.0;-11
14083315;Sevilla;84.0;49
14083315;Sevilla;85.0;34
14083315;Sevilla;86.0;27
14083315;Sevilla;87.0;49
14083315;Sevilla;88.0;36
14083315;Sevilla;89.0;26
14083315;Sevilla;90.0;19
14083315;Girona FC;90.5;-48
14083327;Real Madrid;1.0;-6
14083327;Real Madrid;2.0;-5
14083327;Real Madrid;3.0;-9
14083327;Real Madrid;4.0;-11
14083327;Real Madrid;5.0;-12
14083327;Real Madrid;6.0;-12
14083327;Real Madrid;7.0;-13
14083327;Real Madrid;8.0;-13
14083327;Valencia;9.0;26
14083327;Real Madrid;10.0;-16
14083327;Real Madrid;11.0;-6
14083327;Real Madrid;12.0;-34
14083327;Valencia;13.0;37
14083327;Valencia;14.0;7
14083327;Valencia;15.0;32
14083327;Valencia;16.0;39
14083327;Valencia;17.0;34
14083327;Real Madrid;18.0;-18
14083327;Real Madrid;19.0;-85
14083327;Real Madrid;20.0;-48
14083327;Real Madrid;21.0;-3
14083327;Valencia;22.0;11
14083327;Valencia;23.0;32
14083327;Real Madrid;24.0;-41
14083327;Real Madrid;25.0;-19
14083327;Real Madrid;26.0;-17
14083327;Real Madrid;27.0;-8
14083327;Real Madrid;28.0;-68
14083327;Real Madrid;29.0;-35
14083327;Real Madrid;30.0;-5
14083327;Valencia;31.0;8
14083327;Valencia;32.0;10
14083327;Valencia;33.0;7
14083327;Valencia;34.0;18
14083327;Valencia;35.0;54
14083327;Valencia;36.0;8
14083327;Real Madrid;37.0;-10
14083327;Real Madrid;38.0;-34
14083327;Real Madrid;39.0;-38
14083327;Real Madrid;40.0;-87
14083327;Real Madrid;41.0;-21
14083327;Real Madrid;42.0;-19
14083327;Real Madrid;43.0;-23
14083327;Real Madrid;44.0;-29
14083327;Real Madrid;45.0;-49
14083327;Valencia;46.0;6
14083327;Valencia;47.0;11
14083327;Valencia;48.0;39
14083327;Valencia;49.0;42
14083327;Valencia;50.0;18
14083327;Real Madrid;51.0;-17
14083327;Real Madrid;52.0;-37
14083327;Real Madrid;53.0;-30
14083327;Real Madrid;54.0;-22
14083327;Real Madrid;55.0;-18
14083327;Real Madrid;56.0;-26
14083327;Real Madrid;57.0;-49
14083327;Real Madrid;58.0;-27
14083327;Real Madrid;59.0;-10
14083327;Real Madrid;60.0;-2
14083327;Valencia;61.0;11
14083327;Real Madrid;62.0;-51
14083327;Real Madrid;63.0;-29
14083327;Real Madrid;64.0;-64
14083327;Real Madrid;65.0;-48
14083327;Real Madrid;66.0;-62
14083327;Real Madrid;67.0;-16
14083327;Real Madrid;68.0;-9
14083327;Real Madrid;69.0;-30
14083327;Real Madrid;70.0;-5
14083327;Valencia;71.0;4
14083327;Valencia;72.0;58
14083327;Valencia;73.0;49
14083327;Valencia;74.0;35
14083327;Valencia;75.0;34
14083327;Valencia;76.0;34
14083327;Valencia;77.0;22
14083327;Valencia;78.0;22
14083327;Valencia;79.0;7
14083327;Real Madrid;80.0;-30
14083327;Real Madrid;81.0;-33
14083327;Real Madrid;82.0;-20
14083327;Real Madrid;83.0;-13
14083327;Real Madrid;84.0;-42
14083327;Real Madrid;85.0;-30
14083327;Real Madrid;86.0;-17
14083327;Real Madrid;87.0;-25
14083327;Real Madrid;88.0;-15
14083327;Real Madrid;89.0;-7
14083327;Real Madrid;90.0;-8
14083327;Real Madrid;90.5;-33
