league;season;id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
73;2526;360718;Carl Starfelt;;;;;;;;;;;;;;
73;2526;1111081;Job Ochieng;;;;;;;;;;;;;;
73;2526;892521;Unai Núñez;;;;;;;;;;;;;;
73;2526;300522;Martin Valjent;;;;;;;;;;;;;;
73;2526;591750;Joan Jordán;;;;;;;;;;;;;;
73;2526;1398524;Pablo Durán;;;;;;;;;;;;;;
73;2526;976141;Jon Moncayola;;;;;;;;;;;;;;
73;2526;187313;Lucas Torró;;;;;;;;;;;;;;
73;2526;1184541;Alexander Freeman;;;;;;;;;;;;;;
73;2526;1063015;Tyrhys Dolan;;;;;;;;;;;;;;
73;2526;1154935;Hugo Álvarez;;;;;;;;;;;;;;
73;2526;576276;Domingos Duarte;;;;;;;;;;;;;;
73;2526;152446;Iván Balliu;;;;;;;;;;;;;;
73;2526;1482463;Juan Arango;;;;;;;;;;;;;;
73;2526;857482;Filip Ugrinić;;;;;;;;;;;;;;
73;2526;604258;David Soria;;;;;;;;;;;;;;
73;2526;941464;Federico Gattoni;;;;;;;;;;;;;;
73;2526;984789;Manuel Sánchez;;;;;;;;;;;;;;
73;2526;542634;Alfonso Espino;;;;;;;;;;;;;;
73;2526;910267;Jesús Areso;;;;;;;;;;;;;;
73;2526;1391616;Joel Roca;;;;;;;;;;;;;;
73;2526;1216309;Jon Gorrotxategi;;;;;;;;;;;;;;
73;2526;1046796;Calebe Gonçalves;;;;;;;;;;;;;;
73;2526;556884;Matías Dituro;;;;;;;;;;;;;;
73;2526;96369;Juanmi;;;;;;;;;;;;;;
73;2526;1010421;Josep Chavarría;;;;;;;;;;;;;;
73;2526;1120669;Hugo Sotelo;;;;;;;;;;;;;;
73;2526;149370;Moi Gómez;;;;;;;;;;;;;;
73;2526;822379;Santiago Colombatto;;;;;;;;;;;;;;
73;2526;855831;Víctor Chust;;;;;;;;;;;;;;
73;2526;1468090;Alfon González;;;;;;;;;;;;;;
73;2526;1521733;Vladyslav Krapyvtsov;;;;;;;;;;;;;;
73;2526;1012409;Beñat Prados;;;;;;;;;;;;;;
73;2526;1526627;Javi Rodríguez;;;;;;;;;;;;;;
73;2526;797290;Alfonso Pedraza;;;;;;;;;;;;;;
73;2526;1010891;Mourad El Ghezouani;;;;;;;;;;;;;;
73;2526;879543;Mateu Morey;;;;;;;;;;;;;;
73;2526;363774;Mihailo Ristić;;;;;;;;;;;;;;
73;2526;1160250;Tai Abed;;;;;;;;;;;;;;
73;2526;944629;Nicolas Fonseca;;;;;;;;;;;;;;
73;2526;1002347;Alejandro Francés;;;;;;;;;;;;;;
73;2526;235648;Jonny Otto;;;;;;;;;;;;;;
73;2526;900669;Pedro Díaz;;;;;;;;;;;;;;
73;2526;369004;Antonio Sivera;;;;;;;;;;;;;;
73;2526;934383;Jon Pacheco;;;;;;;;;;;;;;
73;2526;255999;Omar Mascarell;;;;;;;;;;;;;;
73;2526;21949;Óscar Trejo;;;;;;;;;;;;;;
73;2526;135116;David López;;;;;;;;;;;;;;
73;2526;2110897;Alejandro Rego;;;;;;;;;;;;;;
73;2526;949707;Juan Iglesias;;;;;;;;;;;;;;
73;2526;866810;Andoni Gorosabel;;;;;;;;;;;;;;
73;2526;826010;Pol Lozano;;;;;;;;;;;;;;
73;2526;1088565;Ramón Terrats;;;;;;;;;;;;;;
73;2526;1151851;Dawda Camara;;;;;;;;;;;;;;
73;2526;814023;Eray Cömert;;;;;;;;;;;;;;
73;2526;359742;Mikel Vesga;;;;;;;;;;;;;;
73;2526;349526;Dani Rodríguez;;;;;;;;;;;;;;
73;2526;588566;Unai López;;;;;;;;;;;;;;
73;2526;252815;Fábio Cardoso;;;;;;;;;;;;;;
73;2526;1012410;Alvaro Núñez;;;;;;;;;;;;;;
73;2526;1139409;Pablo Marín;;;;;;;;;;;;;;
73;2526;966637;Fran Pérez;;;;;;;;;;;;;;
73;2526;1152139;Angel Ortiz;;;;;;;;;;;;;;
73;2526;1002764;Sergio Carreira;;;;;;;;;;;;;;
73;2526;1019318;Nico Serrano;;;;;;;;;;;;;;
73;2526;344751;Baptiste Santamaria;;;;;;;;;;;;;;
73;2526;1087476;Kamara, Abu;;;;;;;;;;;;;;
73;2526;1064009;Urko González;;;;;;;;;;;;;;
73;2526;53739;Kiko Femenía;;;;;;;;;;;;;;
73;2526;997244;Adrián de la Fuente;;;;;;;;;;;;;;
73;2526;900008;Óscar Valentín;;;;;;;;;;;;;;
73;2526;151138;Dimitri Foulquier;;;;;;;;;;;;;;
73;2526;859769;Oriol Rey;;;;;;;;;;;;;;
73;2526;1953923;Selton Sanchez;;;;;;;;;;;;;;
73;2526;826004;Manu Morlanes;;;;;;;;;;;;;;
