id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
1064009;Urko González;;;;;;;;;;;;;;
53739;Kiko Femenía;;;;;;;;;;;;;;
997244;Adrián de la Fuente;;;;;;;;;;;;;;
900008;Óscar Valentín;;;;;;;;;;;;;;
151138;Dimitri Foulquier;;;;;;;;;;;;;;
859769;Oriol Rey;;;;;;;;;;;;;;
1953923;Selton Sanchez;;;;;;;;;;;;;;
826004;Manu Morlanes;;;;;;;;;;;;;;
605374;Tete Morente;;;;;;;;;;;;;;
992331;Iker Losada;;;;;;;;;;;;;;
913695;José Copete;;;;;;;;;;;;;;
966441;Aihen Muñoz;;;;;;;;;;;;;;
1010165;Abel Bretones;;;;;;;;;;;;;;
996929;Jesús Vázquez;;;;;;;;;;;;;;
1918369;Davinchi;;;;;;;;;;;;;;
1008259;Javier Rueda;;;;;;;;;;;;;;
1430667;Urko Izeta;;;;;;;;;;;;;;
785468;Aritz Elustondo;;;;;;;;;;;;;;
1392054;Coba da Costa;;;;;;;;;;;;;;
945404;López, Javi;;;;;;;;;;;;;;
801837;Íñigo Lekue;;;;;;;;;;;;;;
326471;Gerard Gumbau;;;;;;;;;;;;;;
873717;Carlos Benavídez;;;;;;;;;;;;;;
845025;Ovie Ejaria;;;;;;;;;;;;;;
1170694;Ugo Raghouber;;;;;;;;;;;;;;
1014595;Marc Aguado;;;;;;;;;;;;;;
149606;Jeremy Toljan;;;;;;;;;;;;;;
1525863;Pau Navarro;;;;;;;;;;;;;;
1092515;Yago Santiago;;;;;;;;;;;;;;
1129360;Clemens Riedel;;;;;;;;;;;;;;
1649918;Carlos Espí;;;;;;;;;;;;;;
980732;Adrià Altimira;;;;;;;;;;;;;;
1084381;Pablo Ibáñez;;;;;;;;;;;;;;
141832;Pedro Bigas;;;;;;;;;;;;;;
1466128;Dani Díaz;;;;;;;;;;;;;;
882475;Alberto Reina;;;;;;;;;;;;;;
1398526;Miguel Román;;;;;;;;;;;;;;
1019236;Jofre Carreras;;;;;;;;;;;;;;
788141;Jon Guridi;;;;;;;;;;;;;;
146852;Abdón Prats;;;;;;;;;;;;;;
1099175;Jon Karrikaburu;;;;;;;;;;;;;;
844752;Nacho Vidal;;;;;;;;;;;;;;
353154;Javier Muñoz;;;;;;;;;;;;;;
891931;Ander Guevara;;;;;;;;;;;;;;
1632454;Hugo Rincón;;;;;;;;;;;;;;
927066;Pablo Martínez;;;;;;;;;;;;;;
857205;Fernando Calero;;;;;;;;;;;;;;
1010383;Jon Ander Olasagasti;;;;;;;;;;;;;;
1085579;Pablo Cuñat;;;;;;;;;;;;;;
1216080;Damián Rodríguez;;;;;;;;;;;;;;
345333;David Costas;;;;;;;;;;;;;;
966802;Unai Vencedor;;;;;;;;;;;;;;
1914318;Marc Domenech;;;;;;;;;;;;;;
966836;Álex Sola;;;;;;;;;;;;;;
828239;Toni Lato;;;;;;;;;;;;;;
1832286;Jano Monserrate;;;;;;;;;;;;;;
944225;Herrando, Jorge;;;;;;;;;;;;;;
949722;Antonio Sánchez;;;;;;;;;;;;;;
1090681;Ramón Martínez;;;;;;;;;;;;;;
827504;Léo Pétrot;;;;;;;;;;;;;;
1119586;Iker Muñoz;;;;;;;;;;;;;;
897902;Juan Cruz;;;;;;;;;;;;;;
1142094;Bueno, Manu;;;;;;;;;;;;;;
1398518;Álex Sancris;;;;;;;;;;;;;;
1649919;Kareem Tunde;;;;;;;;;;;;;;
1120947;Jozhua Vertrouwd;;;;;;;;;;;;;;
1069703;Carlos Domínguez;;;;;;;;;;;;;;
1139724;Pelayo Fernández;;;;;;;;;;;;;;
813574;Unai Elgezabal;;;;;;;;;;;;;;
1094758;John Donald;;;;;;;;;;;;;;
1086346;Iker Benito;;;;;;;;;;;;;;
909554;Roger Brugué;;;;;;;;;;;;;;
1145100;Yoel Lago;;;;;;;;;;;;;;
849731;Bambo Diaby;;;;;;;;;;;;;;
1068891;Jose Salinas;;;;;;;;;;;;;;
934351;Miguel Rubio;;;;;;;;;;;;;;
1428699;Andres Castrin;;;;;;;;;;;;;;
560756;Dani Calvo;;;;;;;;;;;;;;
1136702;Mikel Goti;;;;;;;;;;;;;;
1086128;Álex Forés;;;;;;;;;;;;;;
1985103;Gorka  Carrera Zarranz;;;;;;;;;;;;;;
1099344;Antoniu Roca;;;;;;;;;;;;;;
591132;Kike Barja;;;;;;;;;;;;;;
808955;Josan;;;;;;;;;;;;;;
1534422;Oso;;;;;;;;;;;;;;
914749;Sergio Lozano;;;;;;;;;;;;;;
1526575;Arkaitz Mariezkurrena;;;;;;;;;;;;;;
985726;Victor Parada;;;;;;;;;;;;;;
855837;Diego Pampín;;;;;;;;;;;;;;
857229;Oier Luengo;;;;;;;;;;;;;;
1021165;Rubén Sánchez;;;;;;;;;;;;;;
1630975;Manu Fernández;;;;;;;;;;;;;;
952222;Víctor García;;;;;;;;;;;;;;
